RequisitionID,CleanedJobTitle,JobDescription,EditedJobDescription
143642,Information Security EngineerLevel Cloud,Requisition Number 143642 Job Description Cintas currently looking Security EngineerLevel 2 Security Team within IT. role researches recommends implements changes enhance information systems security monitoring capabilities. Information Security EngineerLevel 2 responsible for engineering solutions processes technologies mitigate control gaps presenting proposed solutions management coordinating vendors proofofconcept proofofvalue pilot exercises reviewing information systems identify potential security weaknesses recommending improvements reduce vulnerabilities taking part oncall rotation triage potential security incidents participating network systems design ensure implementation appropriate systems security policies maintaining growing knowledge understanding information security risk management regulatory compliance topics providing occasional hours weekend support project efforts acting mentor junior engineers working collaboratively various Cintas partners design build deploy security frameworks. SkillsQualifications Required High school diplomaGED required Bachelors degree Computer Science related area preferred Minimum 7 years experience Information Technology Minimum 4 years experience Information Security Strong knowledge cyber security practices procedures Strong knowledge networking infrastructure best practices Ability act primary SME Cloud Security Strong working knowledge CSF Framework Strong working knowledge GCP GCVE required Azure preferred Preferred Industry certifications preferred . GCP ACE Cintas offers comprehensive competitive medical dental vision benefits featuring employee health care premiums 30 lower national average industry. One medical plan options even offered zero cost partners. Additionally employeepartners enjoy Competitive Pay 401kProfit SharingEmployee Stock Ownership Program Disability Life Insurance Packages Paid Time Holidays Career Advancement Opportunities Headquartered Cincinnati Cintas publicly held company traded Nasdaq Global Select Market symbol CTAS component Standard Poors 500 Index Nasdaq100 Index. Cintas Corporation helps 900 000 businesses types sizes get READY open doors confidence every day providing wide range products services enhance customers image help keep facilities employees clean safe looking best. products services including uniforms mats mops restroom supplies first aid safety products fire extinguishers testing safety compliance training Cintas helps customers get Ready Workday. To support growth across North America were seeking driven professionals ambition move within company. professional culture dedication employeepartners limitless career opportunitiesthese benefits were proud offer. employeepartners know every job critical teamwork drives innovation. Lets talk fit team hard work recognized competitive pay worldclass benefits ongoing career development. Ready limitless opportunities Cintas? Cintas Corporation EEOAffirmative Action Employer make employmentrelated decisions without regard race color religion sex sexual orientation gender identity national origin disability protected veteran status. Job Category Information Technology Organization Corporate Employee Status Regular Schedule Full Time Shift 1st Shift,"{
  ""marketing"": [
    ""Cintas offers comprehensive competitive medical dental vision benefits featuring employee health care premiums 30 lower national average industry."",
    ""One medical plan options even offered zero cost partners."",
    ""Additionally employeepartners enjoy Competitive Pay 401kProfit SharingEmployee Stock Ownership Program Disability Life Insurance Packages Paid Time Holidays Career Advancement Opportunities""
  ],
  ""description"": [
    ""Cintas currently looking Security EngineerLevel 2 Security Team within IT."",
    ""role researches recommends implements changes enhance information systems security monitoring capabilities."",
    ""Information Security EngineerLevel 2 responsible for engineering solutions processes technologies mitigate control gaps presenting proposed solutions management coordinating vendors proofofconcept proofofvalue pilot exercises reviewing information systems identify potential security weaknesses recommending improvements reduce vulnerabilities taking part oncall rotation triage potential security incidents participating network systems design ensure implementation appropriate systems security policies maintaining growing knowledge understanding information security risk management regulatory compliance topics providing occasional hours weekend support project efforts acting mentor junior engineers working collaboratively various Cintas partners design build deploy security frameworks.""
  ],
  ""requirements"": [
    ""High school diplomaGED required"",
    ""Bachelors degree Computer Science related area preferred"",
    ""Minimum 7 years experience Information Technology"",
    ""Minimum 4 years experience Information Security"",
    ""Strong knowledge cyber security practices procedures"",
    ""Strong knowledge networking infrastructure best practices"",
    ""Ability act primary SME Cloud Security"",
    ""Strong working knowledge CSF Framework"",
    ""Strong working knowledge GCP GCVE required Azure preferred"",
    ""Preferred Industry certifications preferred . GCP ACE""
  ],
  ""legal"": [
    ""Cintas Corporation helps 900 000 businesses types sizes get READY open doors confidence every day providing wide range products services enhance customers image help keep facilities employees clean safe looking best."",
    ""To support growth across North America were seeking driven professionals ambition move within company."",
    ""Cintas Corporation EEOAffirmative Action Employer make employmentrelated decisions without regard race color religion sex sexual orientation gender identity national origin disability protected veteran status.""
  ]
}"
SENIO004432,Senior Engineer Electronics Commercial Development,Description Purpose Position Develop from concept implementation new manufacturing production processes meet current future semiconductor specialty gases customer needs. Collaborate Business Operations Engineering Execution teams enable new solutions critical processes high technology customers around world. Applications include ion propulsion technology satellites rare gas recovery electronic TFTLCD energy efficiency products like lighting windows. Principal Responsibilities Lead development new applications Messers growing electronics business. Integrate production new products existing sites act technology lead definition design new facilities. Provide sales technical support Messer Americas required Execute project safely budget tracking costs provide timely updates spend relative budget managing vendors contractors tracking schedule complete time. Interface local permitting agencies required Organize required internal activities safety reviews Hazops MOCs punch lists. Deliver complete project documentation project conclusion Qualify vendors negotiate vendor pricing bidding conjunction Supply Management Interface Business Operations Project Execution teams required Perform required engineering well manage outsource discipline engineering assigned Oversee approve technical aspects electronics gases vendors. Oversee approve technical aspects installation electronics gases systems. Develop concepts improve Messers electronics gases supply beyond current capability state art. Electronics Commercial Development Engineer support projects valued 1MM 40MM greenfield installations plant relocations plant capacity efficiency upgrades. Qualifications Technical expert design operating economics state art semiconductor specialty gases applications. Degree Chemical Mechanical Electrical engineer Chemistry applicable experience. 5 years experience semiconductor specialty gas applications development Experience synthesis chemical blends plus Functional Skills Design engineering gas blending filling systems Familiarity PIDs engineering drawings design demonstrated successful delivery capital projects Managerial Skills Highly disciplined organized. Equal Opportunity EmployerProtected VeteransIndividuals Disabilities The contractor discharge manner discriminate employees applicants inquired about discussed disclosed pay pay another employee applicant. However employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure a response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractors legal duty furnish information. 41 CFR ,"{
  ""marketing"": [
    ""Develop from concept implementation new manufacturing production processes meet current future semiconductor specialty gases customer needs."",
    ""Collaborate Business Operations Engineering Execution teams enable new solutions critical processes high technology customers around world."",
    ""Applications include ion propulsion technology satellites rare gas recovery electronic TFTLCD energy efficiency products like lighting windows."",
    ""Lead development new applications Messers growing electronics business."",
    ""Integrate production new products existing sites act technology lead definition design new facilities."",
    ""Deliver complete project documentation project conclusion"",
    ""Develop concepts improve Messers electronics gases supply beyond current capability state art."",
    ""Electronics Commercial Development Engineer support projects valued 1MM 40MM greenfield installations plant relocations plant capacity efficiency upgrades.""
  ],
  ""description"": [
    ""Principal Responsibilities Lead development new applications Messers growing electronics business."",
    ""Integrate production new products existing sites act technology lead definition design new facilities."",
    ""Provide sales technical support Messer Americas required"",
    ""Execute project safely budget tracking costs provide timely updates spend relative budget managing vendors contractors tracking schedule complete time."",
    ""Interface local permitting agencies required"",
    ""Organize required internal activities safety reviews Hazops MOCs punch lists."",
    ""Deliver complete project documentation project conclusion"",
    ""Oversee approve technical aspects electronics gases vendors."",
    ""Oversee approve technical aspects installation electronics gases systems."",
    ""Develop concepts improve Messers electronics gases supply beyond current capability state art."",
    ""Electronics Commercial Development Engineer support projects valued 1MM 40MM greenfield installations plant relocations plant capacity efficiency upgrades.""
  ],
  ""requirements"": [
    ""Technical expert design operating economics state art semiconductor specialty gases applications."",
    ""Degree Chemical Mechanical Electrical engineer Chemistry applicable experience."",
    ""5 years experience semiconductor specialty gas applications development"",
    ""Experience synthesis chemical blends plus Functional Skills Design engineering gas blending filling systems Familiarity PIDs engineering drawings design demonstrated successful delivery capital projects"",
    ""Highly disciplined organized.""
  ],
  ""legal"": [
    ""Equal Opportunity EmployerProtected VeteransIndividuals Disabilities"",
    ""The contractor discharge manner discriminate employees applicants inquired about discussed disclosed pay pay another employee applicant."",
    ""However employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure a response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractors legal duty furnish information."",
    ""41 CFR""
  ]
}"
R-021199,Engineer DER Planning Hybrid,hybrid role . first three months fulltime office . Eversource Energy largest Energy delivery company New England . support 3 .6 million Gas Electric customers across CT NH . part mission deliver reliable energy superior customer service . ENERGY BRINGS US TOGETHER ! ! The DER Planning Engineer System Planning provides distribution focused subject matter expertise DER power system studies project development carrying assignments associated technical review modeling generation storage facilities interconnecting distribution system . role requires modeling analyses planning level designs distribution lines substation facilities electric power system . Typical DER studies include analyses distribution connected generation storage impact distribution system . The position primarily based Hadley office Engineers also located Manchester NH office Berlin CT office . Essential Functions Develop distribution system power flow model purpose studying interconnection generation storage using Synergi PSCAD Software utilizing Eversource System Planning Guides . Assists assessment analysis proposed solutions associated integration DER associated impact distribution ISO NE regional system . Prepare documentation ISO NE interconnection process needed . Managing local impact analysis distribution interconnections Eversource distribution system task includes Review preparation Pre Application Report requests Review feasibility assessment support applications interconnection queue Interface work collaboratively internal external stakeholders as system planning transmission distribution line substation engineering asset management siting environmental permitting operations etc . determination planning needs proposed plans . Verification technical feasibility soundness proposed plans utilizing industry accepted techniques Develop design solutions possible alternatives mitigate identified assessment criteria violations Conducts assessments develops options meet DER interconnections identifying key technical issues developing proposed alternative solutions . task includes Application industry corporate distribution planning standards conjunction regulations Federal State Local regulatory authorities Demonstrate complete ownership projects accountable overall project schedule Participates Customer Calls defending technical findings Provides weekly updates project deliverables Assist preparing PAFs internal authorization forms present monthly meeting Other supporting tasks include Represents department company various industry related committees . Serves specialized internal external cross functional teams necessary develop engineering solutions customer satisfaction . Manage approved inverter list Reviewing UL certifications add inverters list approved models reference Clearly effectively communicates results analyses action plans verbally writing internal external stakeholders Performs emergent storm assignment needed times inclement weather adverse system conditions Technical KnowledgeSkillEducationLicensesCertifications Understanding electrical engineering concepts DG storage reliability load flow flicker stability short circuit voltage regulation transients power factor losses etc . Technical understanding parameters functions used operation power delivery system as well power industry fundamentals practices standards Knowledge experience using power system modeling simulation software steady state power flow voltage short circuit stability electromagnetic transients . Strong communication interpersonal presentation negotiation persuasion skills verbal written . Follow Eversources Codes Conduct Business Ethics Environmental Diversity Policies . Education Requires Bachelors degree Electrical Engineering Power Systems related . Advanced degree preferred may count towards years experience . Experience 3 years related experience required experience electric utility preferred . Licenses Certifications EIT ProfessionalEngineers License preferred . Compensation Benefits Eversource offers competitive total rewards program . annual salary range position 92 140 .00 102 380 .00 plus incentive . Salary commensurate experience . Check career site overview benefits . engajd Worker Type Regular Number Openings 1 EEO Statement Eversource Energy Equal Opportunity Affirmative Action Employer . qualified applicants receive consideration employment without regard age race color sex sexual orientation gender identity national origin religion disability status protected veteran status . VEVRRA Federal Contractor Emergency Response Responding emergency situations meet customers needs part every employees role . employed given Emergency Restoration assignment . means may called assist emergency outside normal responsibilities work hours location .,"{
    ""marketing"": [
        ""largest Energy delivery company New England"",
        ""support 3 .6 million Gas Electric customers across CT NH"",
        ""part mission deliver reliable energy superior customer service"",
        ""ENERGY BRINGS US TOGETHER !"",
        ""Provide superior customer service"",
        ""Competitive total rewards program"",
        ""Check career site overview benefits""
    ],
    ""description"": [
        ""The DER Planning Engineer System Planning provides distribution focused subject matter expertise DER power system studies project development carrying assignments associated technical review modeling generation storage facilities interconnecting distribution system"",
        ""The position primarily based Hadley office Engineers also located Manchester NH office Berlin CT office"",
        ""Essential Functions Develop distribution system power flow model purpose studying interconnection generation storage using Synergi PSCAD Software utilizing Eversource System Planning Guides"",
        ""Assists assessment analysis proposed solutions associated integration DER associated impact distribution ISO NE regional system"",
        ""Prepare documentation ISO NE interconnection process needed"",
        ""Managing local impact analysis distribution interconnections Eversource distribution system task includes Review preparation Pre Application Report requests Review feasibility assessment support applications interconnection queue Interface work collaboratively internal external stakeholders as system planning transmission distribution line substation engineering asset management siting environmental permitting operations etc."",
        ""Verification technical feasibility soundness proposed plans utilizing industry accepted techniques Develop design solutions possible alternatives mitigate identified assessment criteria violations Conducts assessments develops options meet DER interconnections identifying key technical issues developing proposed alternative solutions"",
        ""task includes Application industry corporate distribution planning standards conjunction regulations Federal State Local regulatory authorities Demonstrate complete ownership projects accountable overall project schedule"",
        ""Participates Customer Calls defending technical findings"",
        ""Provides weekly updates project deliverables"",
        ""Assist preparing PAFs internal authorization forms present monthly meeting"",
        ""Other supporting tasks include Represents department company various industry related committees"",
        ""Serves specialized internal external cross functional teams necessary develop engineering solutions customer satisfaction"",
        ""Manage approved inverter list"",
        ""Reviewing UL certifications add inverters list approved models reference"",
        ""Clearly effectively communicates results analyses action plans verbally writing internal external stakeholders"",
        ""Performs emergent storm assignment needed times inclement weather adverse system conditions""
    ],
    ""requirements"": [
        ""Understanding electrical engineering concepts DG storage reliability load flow flicker stability short circuit voltage regulation transients power factor losses etc."",
        ""Technical understanding parameters functions used operation power delivery system as well power industry fundamentals practices standards"",
        ""Knowledge experience using power system modeling simulation software steady state power flow voltage short circuit stability electromagnetic transients"",
        ""Strong communication interpersonal presentation negotiation persuasion skills verbal written"",
        ""Follow Eversources Codes Conduct Business Ethics Environmental Diversity Policies"",
        ""Bachelors degree Electrical Engineering Power Systems related"",
        ""Advanced degree preferred may count towards years experience"",
        ""3 years related experience required experience electric utility preferred"",
        ""EIT ProfessionalEngineers License preferred""
    ],
    ""legal"": [
        ""EEO Statement Eversource Energy Equal Opportunity Affirmative Action Employer"",
        ""qualified applicants receive consideration employment without regard age race color sex sexual orientation gender identity national origin religion disability status protected veteran status"",
        ""VEVRRA Federal Contractor"",
        ""Emergency Response Responding emergency situations meet customers needs part every employees role"",
        ""employed given Emergency Restoration assignment"",
        ""means may called assist emergency outside normal responsibilities work hours location""
    ]
}"
356-383,Cybersecurity Engineer,position support systems configuration within Department Defense DoD deploy maintain support cybersecurity tools. Responsibilities Support Cybersecurity Manager PMO efforts related cybersecurity tool suites COTS applications deployment DHRADMDC Support cybersecurity applications meet variety security objectives DHRADMDC cloud infrastructure enterprise Collaborate experienced team actively monitor report maintain network security posture prescribed CSSP Security Plan Utilize knowledge one cybersecurity tools ACAS Tenable Security Center Nessus Endpoint Detection Response EDR ESSHBSS McAffee ePO Security Information Event Management SIEM Coordinate Operations Customers team members Assist senior engineers designing developing solutions deploying maintaining supporting cybersecurity tool suites Configure set policies perform root cause analysis using standard tools troubleshoot issues Assist cybersecurity reviews including generation security artifacts security plans POAMs security CONOPS Work closely DMDC ISSM ISSOs ensure cybersecurity tools date compliant Requirements DoD Secret clearance greater required Active DoD 8570 IA baseline security certification IAT Level II Bachelors degree related fi eld 6 years relevant experience information technology cybersecurity Relevant experience engineering one current cybersecurity tools hardwaresoftware security implementation ACAS HBSS Tanium Splunk or Knowledge DoD cybersecurity policies practices requirements Knowledge Computer Network Defense CND policies procedures regulations Experience Linux system administration operating maintaining Linux systems andapplications hosted Linux environment Windows fundamentals Experience writingrunning scripts Bash Python Knowledge ITIL processes plus Cloud computing certifications plus hybrid position Seaside California Expected salary range 125 000 150 000 determined relevant years experience skills qualified applicants receive consideration employment without regard race color sex sexual orientation gender identity religion national origin disability veteran status age marital status pregnancy genetic information legally protected status Required SkillsRequired Experience,"{
  ""marketing"": [
    ""Support Cybersecurity Manager PMO efforts related cybersecurity tool suites COTS applications deployment DHRADMDC"",
    ""Support cybersecurity applications meet variety security objectives DHRADMDC cloud infrastructure enterprise"",
    ""Collaborate experienced team actively monitor report maintain network security posture prescribed CSSP Security Plan"",
    ""Utilize knowledge one cybersecurity tools ACAS Tenable Security Center Nessus Endpoint Detection Response EDR ESSHBSS McAffee ePO Security Information Event Management SIEM"",
    ""Coordinate Operations Customers team members"",
    ""Assist senior engineers designing developing solutions deploying maintaining supporting cybersecurity tool suites""
  ],
  ""description"": [
    ""position support systems configuration within Department Defense DoD deploy maintain support cybersecurity tools"",
    ""Configure set policies perform root cause analysis using standard tools troubleshoot issues"",
    ""Assist cybersecurity reviews including generation security artifacts security plans POAMs security CONOPS"",
    ""Work closely DMDC ISSM ISSOs ensure cybersecurity tools date compliant""
  ],
  ""requirements"": [
    ""DoD Secret clearance greater required"",
    ""Active DoD 8570 IA baseline security certification IAT Level II"",
    ""Bachelors degree related field"",
    ""6 years relevant experience information technology cybersecurity"",
    ""Relevant experience engineering one current cybersecurity tools hardwaresoftware security implementation ACAS HBSS Tanium Splunk or Knowledge"",
    ""DoD cybersecurity policies practices requirements"",
    ""Knowledge Computer Network Defense CND policies procedures regulations"",
    ""Experience Linux system administration operating maintaining Linux systems andapplications hosted Linux environment"",
    ""Windows fundamentals"",
    ""Experience writingrunning scripts Bash Python"",
    ""Knowledge ITIL processes plus Cloud computing certifications plus hybrid position""
  ],
  ""legals"": [
    ""Qualified applicants receive consideration employment without regard race color sex sexual orientation gender identity religion national origin disability veteran status age marital status pregnancy genetic information legally protected status""
  ]
}"
234532W,Fire Protection Engineer,DuPont working things matter whether providing clean water billion people planet producing materials essential everyday technology devices smartphones electric vehicles protecting workers. If would like part premier multiindustrial company delivering sustainable solutions bring real purpose value company collaborative spirit believes work best work together team values diversity thought DuPont company you! WHY JOIN US? Our purpose empower world essential innovations thrive. work things matter! Get know Purpose make bringing innovations market improve world share commitment sustainability makes planet better give back communities work live. Get Experience collaborative environment teamwork celebrated flexibility enhances balance inclusive atmosphere welcoming all! Have Opportunity chart course challenge yourself acquire new capabilities build rewarding fulfilling career. reward employees competitive pay incentives recognize skills competencies contributions business results. Summary The Environmental Health Safety Center Excellence COE team DuPonts Operations Engineering corporate function seeking Fire Protection Engineering Consultant join us. position provide technical expertise advice Fire Protection related competency DuPont sites businesses globally. position collaborate global business site fire protection professionals effectively communicate implement administer DuPont Fire Safety strategy programs. position report administratively receive functional guidance Global Fire Safety Competency Leader. The successful candidate highly motivated technical individual. Approximately 10 travel may required. This individual would provide Fire Protection system expertise technical support manufacturing sites capital project teams ensure facilities employees businesses safe threat fire. member project team Fire Protection Engineer expected network coordinate collaborate team members including engineering contractors discipline engineers deliver specifications detailed engineering documents related fire protection. consultant existing facilities Fire Protection Engineer responsible performing fire safety evaluations including codestandards compliance reviews buildings industrial complexes determine risk fire explosions best prevent them. Fire Protection Engineer also key member Global Fire Safety Competency responsible coaching training providing technical expertise needed less experienced engineers site fire safety resources engaged fire system review analysis. Key Responsibilities Perform fire hazard risk analysis including hazardous area determination Provide life safety analysis Participate 2nd 3rd party facility fire safety audits Develop fire protection strategies protecting chemical warehousingstorage office facilities Provide technical guidance National Fire Protection Association NFPA code interpretations engineers contractors building owners Conduct fire code reviews analyses integrate various NFPA code requirements assure compliance company standards adopted regulations. Work engineers disciplines make recommendations company cost effective fire protection solutions. Specifyprepare fire safety systems equipment design including fire detection alarm fire suppression system fire pump water flow smoke control emergency lighting communication egress systems Evaluate performance existing fire protection systems verify suitable hazards protect Provide fire protection system inspection testing oversight including pumps fire water storage distribution systems alarms suppression systems Prepare write technical reports. Plan perform commissioning tests levels fire protection systems Assist project process hazard analysis safety reviews Deliverassist training seminars presentations Assist onsite construction quality reviews site observation system testing Assist development emergency response plans procedures Act liaison code enforcement officials Conduct fire cause investigations including root cause failure analysis Participate external standards development organizations NFPA Technical Committees Minimum Skills Required Fire Protection Engineering preferred Chemical Engineering degree. Fire protection system design knowledge 35 years experience chemical manufacturing industrial sector Proven expertise NFPA standards interpretation guidance Understanding competency fire safety fire protection systems including special hazards systems Experience reading engineering design drawings PID PFD instrument diagrams etc. Experience producing technical reports. Knowledge fire safety management systems safeguarding facilities processes. Knowledge general construction methods practices terminology. Emergency Response Experience Emergency Response Management preferred High Hazard Operation Experience preferred Additional Information The candidate must selfmotivated strong interest project engineering technology consulting career able work effectively team environment people levels geographically culturally diverse. ability work independently manage multiple jobs simultaneously organize work set priorities also required. DuPont equal opportunity employer. Qualified applicants considered without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class. need reasonable accommodation search apply position please visit Accessibility Page Contact Information http .,"{
  ""marketing"": [
    ""Get know Purpose make bringing innovations market improve world share commitment sustainability makes planet better give back communities work live."",
    ""Get Experience collaborative environment teamwork celebrated flexibility enhances balance inclusive atmosphere welcoming all!"",
    ""Have Opportunity chart course challenge yourself acquire new capabilities build rewarding fulfilling career."",
    ""reward employees competitive pay incentives recognize skills competencies contributions business results.""
  ],
  ""description"": [
    ""The Environmental Health Safety Center Excellence COE team DuPonts Operations Engineering corporate function seeking Fire Protection Engineering Consultant join us."",
    ""This individual would provide Fire Protection system expertise technical support manufacturing sites capital project teams ensure facilities employees businesses safe threat fire."",
    ""member project team Fire Protection Engineer expected network coordinate collaborate team members including engineering contractors discipline engineers deliver specifications detailed engineering documents related fire protection."",
    ""consultant existing facilities Fire Protection Engineer responsible performing fire safety evaluations including codestandards compliance reviews buildings industrial complexes determine risk fire explosions best prevent them."",
    ""Fire Protection Engineer also key member Global Fire Safety Competency responsible coaching training providing technical expertise needed less experienced engineers site fire safety resources engaged fire system review analysis.""
  ],
  ""requirements"": [
    ""Fire Protection Engineering preferred Chemical Engineering degree."",
    ""Fire protection system design knowledge 35 years experience chemical manufacturing industrial sector"",
    ""Proven expertise NFPA standards interpretation guidance"",
    ""Understanding competency fire safety fire protection systems including special hazards systems"",
    ""Experience reading engineering design drawings PID PFD instrument diagrams etc."",
    ""Experience producing technical reports."",
    ""Knowledge fire safety management systems safeguarding facilities processes."",
    ""Knowledge general construction methods practices terminology."",
    ""Emergency Response Experience Emergency Response Management preferred High Hazard Operation Experience preferred""
  ],
  ""legal"": [
    ""DuPont equal opportunity employer."",
    ""Qualified applicants considered without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class.""
  ]
}"
230003CZ,Air Quality ScientistEngineer,Air Quality ScientistEngineer 230003CZ Description Grounded safety quality ethics experts lead fields guide work rigor creative spirit vision growth. draw 20 technical specialties around globe committed fostering inclusive community diverse talents backgrounds expertise. Were place apply passion collaborate top environmental talents work thats critical clients communities support. Join team environment science. Your Opportunity We seeking MidLevel Air Quality Professional join Air Quality Team. successful candidate primarily assist managing complete projects assist clients air quality permitting air quality compliance reporting air dispersion modeling environmental compliance. successful candidate assist identifying responding project opportunities execution air quality permitting compliance projects accordance Clean Air Act CAA federal state local regulations wide variety clients. Categories Stantec serves include power utilities renewable energy oil gas food beverage higher education manufacturing metals mining real estate transportation. Miscellaneous administrative tasks may required. Position may filled Stantecs Eastern offices. For candidates applicable skill sets educational background position could expanded include supporting role multimedia environmental compliance projects. Tasks environmental compliance projects could include program assistance environmental laws regulations associated with limited to hazardous waste storm water Tier II reporting wastewater spill planning. Your Key Responsibilities Prepare reports compile appropriate forms air emission permit applications authorize construction modification operation facilities. Prepare air emission calculations. Identify applicable environmental regulations. Assist preparing air dispersion modeling analyses using EPA guideline models. Assist managing project tasks project teams meet clients scope schedule budget profit expectations. Assist clients identifying appropriate monitoring planning training testing recordkeeping reporting protocols. Assist development permitting compliance strategies projects. technical resource teams working clients implement Federal Energy Regulatory Commission procedures applicable regulations. Assist preparing proposals describing scope schedule estimated budget executing projects. Assist organizing directing project teams wide variety clients air permitting environmental compliance tasks. Provide quality assurancequality control project deliverables. Potentially assist facility compliance tasks air quality hazardous waste storm water Tier II reporting TRI reporting wastewater spill planning etc. Qualifications Your Capabilities Credentials Proficient policies procedures HSSE including clientspecific training leads example applies policies procedures appropriate work. Solid skills technical writing. Observing developing skills communications technical information exchange clients engineers scientists government regulators agencies academia well nontechnical communication public. Able build strong relationships key clients respect technical area broader business objectives regions. Builds maintains productive professional personal networking relationships. Drives collaborative efforts within Business Center beyond deliver consistent high quality appropriately scoped technical work. Good driving record valid drivers license required. least two years experience successfully executing technical aspects small medium projects Education Experience Bachelors degree Environmental Science related field. Minimum 5 years related experience equivalent combination education . advanced degree experience. Typical office environment working computers remaining sedentary long periods time. Field work may include exposure elements including inclement weather. Ability lift move items equipment 50 lbs. This description comprehensive listing activities duties responsibilities may required employee duties responsibilities activities may assigned may changed time without notice. Stantec place best brightest come build others talents exciting work make impact world around us. Join us redefine personal best. Benefits Summary Fulltime parttime employees access medical dental vision plans wellness program health saving accounts flexible spending accounts 401k plan employee stock purchase program life accidental death dismemberment ADD insurance shorttermlongterm disability plans emergency travel benefits tuition reimbursement professional membership fee coverage paid family leave. Employees receive ten paid holidays calendar year. addition employees eligible accrue vacation 10 20 days per year eligible paid sick leave and generous accordance state local law. Temporary employees access 401k plans employee stock purchase program paid leave accordance state local law. Primary Location United StatesGeorgiaAlpharetta Other Locations United StatesGeorgiaAtlanta United StatesFloridaTampa United StatesAlabama United StatesSouth Carolina United StatesFlorida United StatesGeorgia Work Locations Alpharetta Royal Dr GA Organization BC1726 EnvSvcsUS Gulf East Employee Status Regular Job Level Individual Contributor Travel Yes 20 Time Schedule Fulltime Job Posting Aug 17 2023 11 49 16 AM Req ID 230003CZ Stantec provides equal employment opportunities qualified employees applicants future current employment prohibit discrimination grounds race color religion sex national origin age marital status genetic information disability protected veteran status sexual orientation gender identity gender expression. prohibit discrimination decisions concerning recruitment hiring referral promotion compensation fringe benefits job training terminations condition employment. Stantec compliance local state federal laws regulations ensures equitable opportunities aspects employment. EEO including DisabilityProtected Veterans,"{
  ""marketing"": [
    ""Grounded safety quality ethics experts lead fields guide work rigor creative spirit vision growth."",
    ""Were place apply passion collaborate top environmental talents work thats critical clients communities support."",
    ""Join team environment science."",
    ""Stantec place best brightest come build others talents exciting work make impact world around us."",
    ""Join us redefine personal best.""
  ],
  ""description"": [
    ""We seeking MidLevel Air Quality Professional join Air Quality Team."",
    ""Your Opportunity"",
    ""successful candidate primarily assist managing complete projects assist clients air quality permitting air quality compliance reporting air dispersion modeling environmental compliance."",
    ""successful candidate assist identifying responding project opportunities execution air quality permitting compliance projects accordance Clean Air Act CAA federal state local regulations wide variety clients."",
    ""Categories Stantec serves include power utilities renewable energy oil gas food beverage higher education manufacturing metals mining real estate transportation."",
    ""Miscellaneous administrative tasks may required."",
    ""Position may filled Stantecs Eastern offices."",
    ""For candidates applicable skill sets educational background position could expanded include supporting role multimedia environmental compliance projects."",
    ""Tasks environmental compliance projects could include program assistance environmental laws regulations associated with limited to hazardous waste storm water Tier II reporting wastewater spill planning."",
    ""Your Key Responsibilities"",
    ""Prepare reports compile appropriate forms air emission permit applications authorize construction modification operation facilities."",
    ""Prepare air emission calculations."",
    ""Identify applicable environmental regulations."",
    ""Assist preparing air dispersion modeling analyses using EPA guideline models."",
    ""Assist managing project tasks project teams meet clients scope schedule budget profit expectations."",
    ""Assist clients identifying appropriate monitoring planning training testing recordkeeping reporting protocols."",
    ""Assist development permitting compliance strategies projects."",
    ""technical resource teams working clients implement Federal Energy Regulatory Commission procedures applicable regulations."",
    ""Assist preparing proposals describing scope schedule estimated budget executing projects."",
    ""Assist organizing directing project teams wide variety clients air permitting environmental compliance tasks."",
    ""Provide quality assurancequality control project deliverables."",
    ""Potentially assist facility compliance tasks air quality hazardous waste storm water Tier II reporting TRI reporting wastewater spill planning etc.""
  ],
  ""requirements"": [
    ""Proficient policies procedures HSSE including clientspecific training leads example applies policies procedures appropriate work."",
    ""Solid skills technical writing."",
    ""Observing developing skills communications technical information exchange clients engineers scientists government regulators agencies academia well nontechnical communication public."",
    ""Able build strong relationships key clients respect technical area broader business objectives regions."",
    ""Builds maintains productive professional personal networking relationships."",
    ""Good driving record valid drivers license required."",
    ""least two years experience successfully executing technical aspects small medium projects"",
    ""Bachelors degree Environmental Science related field."",
    ""Minimum 5 years related experience equivalent combination education ."",
    ""advanced degree experience."",
    ""Typical office environment working computers remaining sedentary long periods time."",
    ""Field work may include exposure elements including inclement weather."",
    ""Ability lift move items equipment 50 lbs.""
  ],
  ""legal"": [
    ""Stantec provides equal employment opportunities qualified employees applicants future current employment prohibit discrimination grounds race color religion sex national origin age marital status genetic information disability protected veteran status sexual orientation gender identity gender expression."",
    ""prohibit discrimination decisions concerning recruitment hiring referral promotion compensation fringe benefits job training terminations condition employment."",
    ""Stantec compliance local state federal laws regulations ensures equitable opportunities aspects employment."",
    ""EEO including DisabilityProtected Veterans""
  ]
}"
