Sentence,IsDescription
Cintas offers comprehensive competitive medical dental vision benefits featuring employee health care premiums 30 lower national average industry.,0
One medical plan options even offered zero cost partners.,0
Additionally employeepartners enjoy Competitive Pay 401kProfit SharingEmployee Stock Ownership Program Disability Life Insurance Packages Paid Time Holidays Career Advancement Opportunities,0
Cintas currently looking Security EngineerLevel 2 Security Team within IT.,1
role researches recommends implements changes enhance information systems security monitoring capabilities.,1
Information Security EngineerLevel 2 responsible for engineering solutions processes technologies mitigate control gaps presenting proposed solutions management coordinating vendors proofofconcept proofofvalue pilot exercises reviewing information systems identify potential security weaknesses recommending improvements reduce vulnerabilities taking part oncall rotation triage potential security incidents participating network systems design ensure implementation appropriate systems security policies maintaining growing knowledge understanding information security risk management regulatory compliance topics providing occasional hours weekend support project efforts acting mentor junior engineers working collaboratively various Cintas partners design build deploy security frameworks.,1
High school diplomaGED required,0
Bachelors degree Computer Science related area preferred,0
Minimum 7 years experience Information Technology,0
Minimum 4 years experience Information Security,0
Strong knowledge cyber security practices procedures,0
Strong knowledge networking infrastructure best practices,0
Ability act primary SME Cloud Security,0
Strong working knowledge CSF Framework,0
Strong working knowledge GCP GCVE required Azure preferred,0
Preferred Industry certifications preferred . GCP ACE,0
Cintas Corporation helps 900 000 businesses types sizes get READY open doors confidence every day providing wide range products services enhance customers image help keep facilities employees clean safe looking best.,0
To support growth across North America were seeking driven professionals ambition move within company.,0
Cintas Corporation EEOAffirmative Action Employer make employmentrelated decisions without regard race color religion sex sexual orientation gender identity national origin disability protected veteran status.,0
Develop from concept implementation new manufacturing production processes meet current future semiconductor specialty gases customer needs.,0
Collaborate Business Operations Engineering Execution teams enable new solutions critical processes high technology customers around world.,0
Applications include ion propulsion technology satellites rare gas recovery electronic TFTLCD energy efficiency products like lighting windows.,0
Lead development new applications Messers growing electronics business.,0
Integrate production new products existing sites act technology lead definition design new facilities.,0
Deliver complete project documentation project conclusion,0
Develop concepts improve Messers electronics gases supply beyond current capability state art.,0
Electronics Commercial Development Engineer support projects valued 1MM 40MM greenfield installations plant relocations plant capacity efficiency upgrades.,0
Principal Responsibilities Lead development new applications Messers growing electronics business.,1
Integrate production new products existing sites act technology lead definition design new facilities.,1
Provide sales technical support Messer Americas required,1
Execute project safely budget tracking costs provide timely updates spend relative budget managing vendors contractors tracking schedule complete time.,1
Interface local permitting agencies required,1
Organize required internal activities safety reviews Hazops MOCs punch lists.,1
Deliver complete project documentation project conclusion,1
Oversee approve technical aspects electronics gases vendors.,1
Oversee approve technical aspects installation electronics gases systems.,1
Develop concepts improve Messers electronics gases supply beyond current capability state art.,1
Electronics Commercial Development Engineer support projects valued 1MM 40MM greenfield installations plant relocations plant capacity efficiency upgrades.,1
Technical expert design operating economics state art semiconductor specialty gases applications.,0
Degree Chemical Mechanical Electrical engineer Chemistry applicable experience.,0
5 years experience semiconductor specialty gas applications development,0
Experience synthesis chemical blends plus Functional Skills Design engineering gas blending filling systems Familiarity PIDs engineering drawings design demonstrated successful delivery capital projects,0
Highly disciplined organized.,0
Equal Opportunity EmployerProtected VeteransIndividuals Disabilities,0
The contractor discharge manner discriminate employees applicants inquired about discussed disclosed pay pay another employee applicant.,0
However employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure a response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractors legal duty furnish information.,0
41 CFR,0
largest Energy delivery company New England,0
support 3 .6 million Gas Electric customers across CT NH,0
part mission deliver reliable energy superior customer service,0
ENERGY BRINGS US TOGETHER !,0
Provide superior customer service,0
Competitive total rewards program,0
Check career site overview benefits,0
The DER Planning Engineer System Planning provides distribution focused subject matter expertise DER power system studies project development carrying assignments associated technical review modeling generation storage facilities interconnecting distribution system,1
The position primarily based Hadley office Engineers also located Manchester NH office Berlin CT office,1
Essential Functions Develop distribution system power flow model purpose studying interconnection generation storage using Synergi PSCAD Software utilizing Eversource System Planning Guides,1
Assists assessment analysis proposed solutions associated integration DER associated impact distribution ISO NE regional system,1
